week,estimate,se,pval,ci_lo,ci_hi
-5,-0.0190886637137063,0.130585353679704,0.883813359757432,-0.275035956925927,0.236858629498514
-4,-0.147804893264579,0.235868973559438,0.53105183103908,-0.610108081441078,0.314498294911919
-3,0.15110531272867,0.104202105620412,0.147368769196779,-0.0531308142873372,0.355341439744676
-2,0.0914420170024001,0.0869961834021154,0.293488749211507,-0.0790705024657461,0.261954536470546
-1,0,0,1,0,0
0,0.139379633028511,0.0859886768337098,0.105382533103262,-0.0291581735655601,0.307917439622582
1,0.0332615783128467,0.0936155322594165,0.722446992803949,-0.15022486491561,0.216748021541303
2,-0.00276878756474021,0.088091948000224,0.974932956484999,-0.175429005645179,0.169891430515699
3,0.350529336185559,0.318155562468239,0.270858437136918,-0.27305556625219,0.974114238623308
4,0.441909173402923,0.252337976731655,0.0802367127196693,-0.0526732609911211,0.936491607796968
